import time: self [us] | cumulative | imported package
import time:       362 |       4765 |         src.infrastructure.db.repositories.knowledge_repository
import time:       886 |        886 |           src.domain.project_plane.memory_views
import time:       278 |       1163 |         src.infrastructure.db.repositories.memory_repository
import time:       225 |        225 |         src.infrastructure.db.repositories.metrics_repository
import time:      1435 |       1435 |           src.domain.project_plane.queue_views
import time:       312 |       1746 |         src.infrastructure.db.repositories.queue_repository
import time:       459 |        459 |             src.infrastructure.db.repositories.thread.lifecycle
import time:      6827 |       6827 |               src.domain.project_plane.thread_views
import time:       400 |       7227 |             src.infrastructure.db.repositories.thread.messages
import time:       271 |        271 |             src.infrastructure.db.repositories.thread.read
import time:       346 |        346 |             src.infrastructure.db.repositories.thread.runtime_state
import time:       390 |       8690 |           src.infrastructure.db.repositories.thread
import time:        71 |       8761 |         src.infrastructure.db.repositories.thread.runtime_state
import time:       170 |        170 |           src.domain.identity.auth_providers
import time:       516 |        685 |         src.infrastructure.db.repositories.user_repository
import time:       211 |        211 |               httpx.__version__
import time:       273 |        273 |                         urllib.response
import time:       420 |        692 |                       urllib.error
import time:      2263 |       2955 |                     urllib.request
import time:       783 |        783 |                     httpx._exceptions
import time:      3276 |       3276 |                       http.cookiejar
import time:      1621 |       1621 |                           httpx._types
import time:       256 |        256 |                           httpx._utils
import time:       648 |       2525 |                         httpx._multipart
import time:       426 |       2950 |                       httpx._content
import time:       113 |        113 |                         brotli
import time:       100 |        100 |                         brotlicffi
import time:      1564 |       1564 |                           zstandard.backend_c
import time:       348 |       1911 |                         zstandard
import time:       516 |       2640 |                       httpx._decoders
import time:      1379 |       1379 |                       httpx._status_codes
import time:      1073 |       1073 |                             idna.idnadata
import time:       299 |        299 |                             idna.intranges
import time:      1068 |       2438 |                           idna.core
import time:       154 |        154 |                           idna.package_data
import time:       387 |       2978 |                         idna
import time:      1973 |       1973 |                         httpx._urlparse
import time:       607 |       5557 |                       httpx._urls
import time:      1275 |      17075 |                     httpx._models
import time:       806 |      21617 |                   httpx._auth
import time:       302 |        302 |                   httpx._config
import time:       282 |        282 |                         httpx._transports.base
import time:       501 |        783 |                       httpx._transports.asgi
import time:       646 |        646 |                       httpx._transports.default
import time:       261 |        261 |                       httpx._transports.mock
import time:       248 |        248 |                       httpx._transports.wsgi
import time:       402 |       2338 |                     httpx._transports
import time:        49 |       2387 |                   httpx._transports.base
import time:      1073 |      25376 |                 httpx._client
import time:       354 |      25730 |               httpx._api
import time:       518 |        518 |                       click._compat
import time:       264 |        264 |                         click.globals
import time:       372 |        372 |                         click.utils
import time:       630 |       1265 |                       click.exceptions
import time:      1078 |       2860 |                     click.types
import time:       384 |        384 |                     click._utils
